"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","POP","TOT","MLN_PER","A","1966",9.527807,
"BEL","POP","TOT","MLN_PER","A","1967",9.58099,
"BEL","POP","TOT","MLN_PER","A","1968",9.618755,
"BEL","POP","TOT","MLN_PER","A","1969",9.646032,
"BEL","POP","TOT","MLN_PER","A","1970",9.655549,
"BEL","POP","TOT","MLN_PER","A","1971",9.673161,
"BEL","POP","TOT","MLN_PER","A","1972",9.711114,
"BEL","POP","TOT","MLN_PER","A","1973",9.74172,
"BEL","POP","TOT","MLN_PER","A","1974",9.772419,
"BEL","POP","TOT","MLN_PER","A","1975",9.8007,
"BEL","POP","TOT","MLN_PER","A","1976",9.818227,
"BEL","POP","TOT","MLN_PER","A","1977",9.830357,
"BEL","POP","TOT","MLN_PER","A","1978",9.839533,
"BEL","POP","TOT","MLN_PER","A","1979",9.848382,
"BEL","POP","TOT","MLN_PER","A","1980",9.859242,
"BEL","POP","TOT","MLN_PER","A","1981",9.858981,
"BEL","POP","TOT","MLN_PER","A","1982",9.856303,
"BEL","POP","TOT","MLN_PER","A","1983",9.85552,
"BEL","POP","TOT","MLN_PER","A","1984",9.855372,
"BEL","POP","TOT","MLN_PER","A","1985",9.858308,
"BEL","POP","TOT","MLN_PER","A","1986",9.861823,
"BEL","POP","TOT","MLN_PER","A","1987",9.870233,
"BEL","POP","TOT","MLN_PER","A","1988",9.901664,
"BEL","POP","TOT","MLN_PER","A","1989",9.937697,
"BEL","POP","TOT","MLN_PER","A","1990",9.967378,
"BEL","POP","TOT","MLN_PER","A","1991",10.00449,
"BEL","POP","TOT","MLN_PER","A","1992",10.04516,
"BEL","POP","TOT","MLN_PER","A","1993",10.08447,
"BEL","POP","TOT","MLN_PER","A","1994",10.1156,
"BEL","POP","TOT","MLN_PER","A","1995",10.13681,
"BEL","POP","TOT","MLN_PER","A","1996",10.15664,
"BEL","POP","TOT","MLN_PER","A","1997",10.18125,
"BEL","POP","TOT","MLN_PER","A","1998",10.20301,
"BEL","POP","TOT","MLN_PER","A","1999",10.22642,
"BEL","POP","TOT","MLN_PER","A","2000",10.25125,
"BEL","POP","TOT","MLN_PER","A","2001",10.28657,
"BEL","POP","TOT","MLN_PER","A","2002",10.33278,
"BEL","POP","TOT","MLN_PER","A","2003",10.37613,
"BEL","POP","TOT","MLN_PER","A","2004",10.42114,
"BEL","POP","TOT","MLN_PER","A","2005",10.47862,
"BEL","POP","TOT","MLN_PER","A","2006",10.54796,
"BEL","POP","TOT","MLN_PER","A","2007",10.6257,
"BEL","POP","TOT","MLN_PER","A","2008",10.70997,
"BEL","POP","TOT","MLN_PER","A","2009",10.79649,
"BEL","POP","TOT","MLN_PER","A","2010",10.92027,
"BEL","POP","TOT","MLN_PER","A","2011",11.04774,
"BEL","POP","TOT","MLN_PER","A","2012",11.12825,
"BEL","POP","TOT","MLN_PER","A","2013",11.17844,
"BEL","POP","TOT","MLN_PER","A","2014",11.22728,
"CAN","POP","TOT","MLN_PER","A","1950",14.019,
"CAN","POP","TOT","MLN_PER","A","1951",14.318,
"CAN","POP","TOT","MLN_PER","A","1952",14.776,
"CAN","POP","TOT","MLN_PER","A","1953",15.17,
"CAN","POP","TOT","MLN_PER","A","1954",15.621,
"CAN","POP","TOT","MLN_PER","A","1955",16.04,
"CAN","POP","TOT","MLN_PER","A","1956",16.431,
"CAN","POP","TOT","MLN_PER","A","1957",16.971,
"CAN","POP","TOT","MLN_PER","A","1958",17.45,
"CAN","POP","TOT","MLN_PER","A","1959",17.861,
"CAN","POP","TOT","MLN_PER","A","1960",18.256,
"CAN","POP","TOT","MLN_PER","A","1961",18.635,
"CAN","POP","TOT","MLN_PER","A","1962",18.989,
"CAN","POP","TOT","MLN_PER","A","1963",19.347,
"CAN","POP","TOT","MLN_PER","A","1964",19.72,
"CAN","POP","TOT","MLN_PER","A","1965",20.084,
"CAN","POP","TOT","MLN_PER","A","1966",20.421,
"CAN","POP","TOT","MLN_PER","A","1967",20.795,
"CAN","POP","TOT","MLN_PER","A","1968",21.129,
"CAN","POP","TOT","MLN_PER","A","1969",21.44,
"CAN","POP","TOT","MLN_PER","A","1970",21.746,
"CAN","POP","TOT","MLN_PER","A","1971",21.962,
"CAN","POP","TOT","MLN_PER","A","1972",22.218,
"CAN","POP","TOT","MLN_PER","A","1973",22.492,
"CAN","POP","TOT","MLN_PER","A","1974",22.808,
"CAN","POP","TOT","MLN_PER","A","1975",23.143,
"CAN","POP","TOT","MLN_PER","A","1976",23.45,
"CAN","POP","TOT","MLN_PER","A","1977",23.726,
"CAN","POP","TOT","MLN_PER","A","1978",23.963,
"CAN","POP","TOT","MLN_PER","A","1979",24.202,
"CAN","POP","TOT","MLN_PER","A","1980",24.516,
"CAN","POP","TOT","MLN_PER","A","1981",24.82,
"CAN","POP","TOT","MLN_PER","A","1982",25.117,
"CAN","POP","TOT","MLN_PER","A","1983",25.366,
"CAN","POP","TOT","MLN_PER","A","1984",25.607,
"CAN","POP","TOT","MLN_PER","A","1985",25.842,
"CAN","POP","TOT","MLN_PER","A","1986",26.1,
"CAN","POP","TOT","MLN_PER","A","1987",26.447,
"CAN","POP","TOT","MLN_PER","A","1988",26.792,
"CAN","POP","TOT","MLN_PER","A","1989",27.277,
"CAN","POP","TOT","MLN_PER","A","1990",27.69114,
"CAN","POP","TOT","MLN_PER","A","1991",28.03742,
"CAN","POP","TOT","MLN_PER","A","1992",28.37126,
"CAN","POP","TOT","MLN_PER","A","1993",28.68476,
"CAN","POP","TOT","MLN_PER","A","1994",29.00066,
"CAN","POP","TOT","MLN_PER","A","1995",29.30231,
"CAN","POP","TOT","MLN_PER","A","1996",29.61022,
"CAN","POP","TOT","MLN_PER","A","1997",29.90595,
"CAN","POP","TOT","MLN_PER","A","1998",30.15517,
"CAN","POP","TOT","MLN_PER","A","1999",30.40129,
"CAN","POP","TOT","MLN_PER","A","2000",30.68573,
"CAN","POP","TOT","MLN_PER","A","2001",31.01902,
"CAN","POP","TOT","MLN_PER","A","2002",31.35366,
"CAN","POP","TOT","MLN_PER","A","2003",31.63967,
"CAN","POP","TOT","MLN_PER","A","2004",31.94068,
"CAN","POP","TOT","MLN_PER","A","2005",32.24521,
"CAN","POP","TOT","MLN_PER","A","2006",32.57607,
"CAN","POP","TOT","MLN_PER","A","2007",32.92752,
"CAN","POP","TOT","MLN_PER","A","2008",33.31766,
"CAN","POP","TOT","MLN_PER","A","2009",33.72691,
"CAN","POP","TOT","MLN_PER","A","2010",34.12655,
"CAN","POP","TOT","MLN_PER","A","2011",34.48398,
"CAN","POP","TOT","MLN_PER","A","2012",34.88049,"B"
"CAN","POP","TOT","MLN_PER","A","2013",35.154,
"CAN","POP","TOT","MLN_PER","A","2014",35.54,
"CZE","POP","TOT","MLN_PER","A","1950",8.925122,
"CZE","POP","TOT","MLN_PER","A","1951",9.02317,
"CZE","POP","TOT","MLN_PER","A","1952",9.125183,
"CZE","POP","TOT","MLN_PER","A","1953",9.220908,
"CZE","POP","TOT","MLN_PER","A","1954",9.290617,
"CZE","POP","TOT","MLN_PER","A","1955",9.365969,
"CZE","POP","TOT","MLN_PER","A","1956",9.44204,
"CZE","POP","TOT","MLN_PER","A","1957",9.513758,
"CZE","POP","TOT","MLN_PER","A","1958",9.57465,
"CZE","POP","TOT","MLN_PER","A","1959",9.618554,
"CZE","POP","TOT","MLN_PER","A","1960",9.659818,
"CZE","POP","TOT","MLN_PER","A","1961",9.588016,
"CZE","POP","TOT","MLN_PER","A","1962",9.621808,
"CZE","POP","TOT","MLN_PER","A","1963",9.668741,
"CZE","POP","TOT","MLN_PER","A","1964",9.730019,
"CZE","POP","TOT","MLN_PER","A","1965",9.785102,
"CZE","POP","TOT","MLN_PER","A","1966",9.826188,
"CZE","POP","TOT","MLN_PER","A","1967",9.854241,
"CZE","POP","TOT","MLN_PER","A","1968",9.877632,
"CZE","POP","TOT","MLN_PER","A","1969",9.896695,
"CZE","POP","TOT","MLN_PER","A","1970",9.805157,
"CZE","POP","TOT","MLN_PER","A","1971",9.830602,
"CZE","POP","TOT","MLN_PER","A","1972",9.868379,
"CZE","POP","TOT","MLN_PER","A","1973",9.919519,
"CZE","POP","TOT","MLN_PER","A","1974",9.994761,
"CZE","POP","TOT","MLN_PER","A","1975",10.06237,
"CZE","POP","TOT","MLN_PER","A","1976",10.12822,
"CZE","POP","TOT","MLN_PER","A","1977",10.18931,
"CZE","POP","TOT","MLN_PER","A","1978",10.24569,
"CZE","POP","TOT","MLN_PER","A","1979",10.29649,
"CZE","POP","TOT","MLN_PER","A","1980",10.32679,
"CZE","POP","TOT","MLN_PER","A","1981",10.30321,
"CZE","POP","TOT","MLN_PER","A","1982",10.31432,
"CZE","POP","TOT","MLN_PER","A","1983",10.32282,
"CZE","POP","TOT","MLN_PER","A","1984",10.33048,
"CZE","POP","TOT","MLN_PER","A","1985",10.33674,
"CZE","POP","TOT","MLN_PER","A","1986",10.34074,
"CZE","POP","TOT","MLN_PER","A","1987",10.34883,
"CZE","POP","TOT","MLN_PER","A","1988",10.35636,
"CZE","POP","TOT","MLN_PER","A","1989",10.36226,
"CZE","POP","TOT","MLN_PER","A","1990",10.36274,
"CZE","POP","TOT","MLN_PER","A","1991",10.30868,
"CZE","POP","TOT","MLN_PER","A","1992",10.31781,
"CZE","POP","TOT","MLN_PER","A","1993",10.33061,
"CZE","POP","TOT","MLN_PER","A","1994",10.33616,
"CZE","POP","TOT","MLN_PER","A","1995",10.33076,
"CZE","POP","TOT","MLN_PER","A","1996",10.31535,
"CZE","POP","TOT","MLN_PER","A","1997",10.30364,
"CZE","POP","TOT","MLN_PER","A","1998",10.29494,
"CZE","POP","TOT","MLN_PER","A","1999",10.28278,
"CZE","POP","TOT","MLN_PER","A","2000",10.2725,
"CZE","POP","TOT","MLN_PER","A","2001",10.22419,
"CZE","POP","TOT","MLN_PER","A","2002",10.20077,
"CZE","POP","TOT","MLN_PER","A","2003",10.20165,
"CZE","POP","TOT","MLN_PER","A","2004",10.20692,
"CZE","POP","TOT","MLN_PER","A","2005",10.23409,
"CZE","POP","TOT","MLN_PER","A","2006",10.26665,
"CZE","POP","TOT","MLN_PER","A","2007",10.32269,
"CZE","POP","TOT","MLN_PER","A","2008",10.42969,
"CZE","POP","TOT","MLN_PER","A","2009",10.49149,
"CZE","POP","TOT","MLN_PER","A","2010",10.51725,
"CZE","POP","TOT","MLN_PER","A","2011",10.49667,
"CZE","POP","TOT","MLN_PER","A","2012",10.50929,
"CZE","POP","TOT","MLN_PER","A","2013",10.51072,
"CZE","POP","TOT","MLN_PER","A","2014",10.52478,
"DNK","POP","TOT","MLN_PER","A","1950",4.268468,
"DNK","POP","TOT","MLN_PER","A","1951",4.300383,
"DNK","POP","TOT","MLN_PER","A","1952",4.332363,
"DNK","POP","TOT","MLN_PER","A","1953",4.369277,
"DNK","POP","TOT","MLN_PER","A","1954",4.406575,
"DNK","POP","TOT","MLN_PER","A","1955",4.439006,
"DNK","POP","TOT","MLN_PER","A","1956",4.46652,
"DNK","POP","TOT","MLN_PER","A","1957",4.489869,
"DNK","POP","TOT","MLN_PER","A","1958",4.516287,
"DNK","POP","TOT","MLN_PER","A","1959",4.548658,
"DNK","POP","TOT","MLN_PER","A","1960",4.579603,
"DNK","POP","TOT","MLN_PER","A","1961",4.611687,
"DNK","POP","TOT","MLN_PER","A","1962",4.647727,
"DNK","POP","TOT","MLN_PER","A","1963",4.684482,
"DNK","POP","TOT","MLN_PER","A","1964",4.722072,
"DNK","POP","TOT","MLN_PER","A","1965",4.759012,
"DNK","POP","TOT","MLN_PER","A","1966",4.79738,
"DNK","POP","TOT","MLN_PER","A","1967",4.835354,
"DNK","POP","TOT","MLN_PER","A","1968",4.864882,
"DNK","POP","TOT","MLN_PER","A","1969",4.891859,
"DNK","POP","TOT","MLN_PER","A","1970",4.928757,
"DNK","POP","TOT","MLN_PER","A","1971",4.963125,
"DNK","POP","TOT","MLN_PER","A","1972",4.991596,
"DNK","POP","TOT","MLN_PER","A","1973",5.021861,
"DNK","POP","TOT","MLN_PER","A","1974",5.045297,
"DNK","POP","TOT","MLN_PER","A","1975",5.059861,
"DNK","POP","TOT","MLN_PER","A","1976",5.072596,
"DNK","POP","TOT","MLN_PER","A","1977",5.088419,
"DNK","POP","TOT","MLN_PER","A","1978",5.104248,
"DNK","POP","TOT","MLN_PER","A","1979",5.116801,
"DNK","POP","TOT","MLN_PER","A","1980",5.123027,
"DNK","POP","TOT","MLN_PER","A","1981",5.121572,
"DNK","POP","TOT","MLN_PER","A","1982",5.11781,
"DNK","POP","TOT","MLN_PER","A","1983",5.114297,
"DNK","POP","TOT","MLN_PER","A","1984",5.111619,
"DNK","POP","TOT","MLN_PER","A","1985",5.11369,
"DNK","POP","TOT","MLN_PER","A","1986",5.120534,
"DNK","POP","TOT","MLN_PER","A","1987",5.127024,
"DNK","POP","TOT","MLN_PER","A","1988",5.129516,
"DNK","POP","TOT","MLN_PER","A","1989",5.132593,
"DNK","POP","TOT","MLN_PER","A","1990",5.140939,
"DNK","POP","TOT","MLN_PER","A","1991",5.154297,
"DNK","POP","TOT","MLN_PER","A","1992",5.17137,
"DNK","POP","TOT","MLN_PER","A","1993",5.188628,
"DNK","POP","TOT","MLN_PER","A","1994",5.20618,
"DNK","POP","TOT","MLN_PER","A","1995",5.233373,
"DNK","POP","TOT","MLN_PER","A","1996",5.263074,
"DNK","POP","TOT","MLN_PER","A","1997",5.284991,
"DNK","POP","TOT","MLN_PER","A","1998",5.304218,
"DNK","POP","TOT","MLN_PER","A","1999",5.321798,
"DNK","POP","TOT","MLN_PER","A","2000",5.339616,
"DNK","POP","TOT","MLN_PER","A","2001",5.358783,
"DNK","POP","TOT","MLN_PER","A","2002",5.375931,
"DNK","POP","TOT","MLN_PER","A","2003",5.390574,
"DNK","POP","TOT","MLN_PER","A","2004",5.404522,
"DNK","POP","TOT","MLN_PER","A","2005",5.419432,
"DNK","POP","TOT","MLN_PER","A","2006",5.437271,
"DNK","POP","TOT","MLN_PER","A","2007",5.461438,
"DNK","POP","TOT","MLN_PER","A","2008",5.493621,
"DNK","POP","TOT","MLN_PER","A","2009",5.523095,
"DNK","POP","TOT","MLN_PER","A","2010",5.547683,
"DNK","POP","TOT","MLN_PER","A","2011",5.570572,
"DNK","POP","TOT","MLN_PER","A","2012",5.591572,
"DNK","POP","TOT","MLN_PER","A","2013",5.614932,"B"
"FIN","POP","TOT","MLN_PER","A","1955",4.235,
"FIN","POP","TOT","MLN_PER","A","1956",4.282,
"FIN","POP","TOT","MLN_PER","A","1957",4.324,
"FIN","POP","TOT","MLN_PER","A","1958",4.36,
"FIN","POP","TOT","MLN_PER","A","1959",4.395,
"FIN","POP","TOT","MLN_PER","A","1960",4.43,
"FIN","POP","TOT","MLN_PER","A","1961",4.461,
"FIN","POP","TOT","MLN_PER","A","1962",4.491,
"FIN","POP","TOT","MLN_PER","A","1963",4.523,
"FIN","POP","TOT","MLN_PER","A","1964",4.549,
"FIN","POP","TOT","MLN_PER","A","1965",4.564,
"FIN","POP","TOT","MLN_PER","A","1966",4.581,
"FIN","POP","TOT","MLN_PER","A","1967",4.606,
"FIN","POP","TOT","MLN_PER","A","1968",4.626,
"FIN","POP","TOT","MLN_PER","A","1969",4.624,
"FIN","POP","TOT","MLN_PER","A","1970",4.606,
"FIN","POP","TOT","MLN_PER","A","1971",4.612,
"FIN","POP","TOT","MLN_PER","A","1972",4.64,
"FIN","POP","TOT","MLN_PER","A","1973",4.666,
"FIN","POP","TOT","MLN_PER","A","1974",4.691,
"FIN","POP","TOT","MLN_PER","A","1975",4.712,
"FIN","POP","TOT","MLN_PER","A","1976",4.726,
"FIN","POP","TOT","MLN_PER","A","1977",4.739,
"FIN","POP","TOT","MLN_PER","A","1978",4.753,
"FIN","POP","TOT","MLN_PER","A","1979",4.765,
"FIN","POP","TOT","MLN_PER","A","1980",4.779,
"FIN","POP","TOT","MLN_PER","A","1981",4.8,
"FIN","POP","TOT","MLN_PER","A","1982",4.827,
"FIN","POP","TOT","MLN_PER","A","1983",4.856,
"FIN","POP","TOT","MLN_PER","A","1984",4.882,
"FIN","POP","TOT","MLN_PER","A","1985",4.902,
"FIN","POP","TOT","MLN_PER","A","1986",4.918,
"FIN","POP","TOT","MLN_PER","A","1987",4.932,
"FIN","POP","TOT","MLN_PER","A","1988",4.947,
"FIN","POP","TOT","MLN_PER","A","1989",4.964,
"FIN","POP","TOT","MLN_PER","A","1990",4.986,
"FIN","POP","TOT","MLN_PER","A","1991",5.014,
"FIN","POP","TOT","MLN_PER","A","1992",5.042,
"FIN","POP","TOT","MLN_PER","A","1993",5.066,
"FIN","POP","TOT","MLN_PER","A","1994",5.088,
"FIN","POP","TOT","MLN_PER","A","1995",5.108,
"FIN","POP","TOT","MLN_PER","A","1996",5.125,
"FIN","POP","TOT","MLN_PER","A","1997",5.14,
"FIN","POP","TOT","MLN_PER","A","1998",5.153,
"FIN","POP","TOT","MLN_PER","A","1999",5.165,
"FIN","POP","TOT","MLN_PER","A","2000",5.176,
"FIN","POP","TOT","MLN_PER","A","2001",5.188,
"FIN","POP","TOT","MLN_PER","A","2002",5.201,
"FIN","POP","TOT","MLN_PER","A","2003",5.213,
"FIN","POP","TOT","MLN_PER","A","2004",5.228,
"FIN","POP","TOT","MLN_PER","A","2005",5.246,
"FIN","POP","TOT","MLN_PER","A","2006",5.267,
"FIN","POP","TOT","MLN_PER","A","2007",5.289,
"FIN","POP","TOT","MLN_PER","A","2008",5.313,
"FIN","POP","TOT","MLN_PER","A","2009",5.339,
"FIN","POP","TOT","MLN_PER","A","2010",5.363,
"FIN","POP","TOT","MLN_PER","A","2011",5.388,
"FIN","POP","TOT","MLN_PER","A","2012",5.414,
"FIN","POP","TOT","MLN_PER","A","2013",5.439,
"FIN","POP","TOT","MLN_PER","A","2014",5.472,
"FRA","POP","TOT","MLN_PER","A","1950",41.82871,
"FRA","POP","TOT","MLN_PER","A","1951",42.15553,
"FRA","POP","TOT","MLN_PER","A","1952",42.45967,
"FRA","POP","TOT","MLN_PER","A","1953",42.75175,
"FRA","POP","TOT","MLN_PER","A","1954",43.05651,
"FRA","POP","TOT","MLN_PER","A","1955",43.42767,
"FRA","POP","TOT","MLN_PER","A","1956",43.84307,
"FRA","POP","TOT","MLN_PER","A","1957",44.31086,
"FRA","POP","TOT","MLN_PER","A","1958",44.78885,
"FRA","POP","TOT","MLN_PER","A","1959",45.23973,
"FRA","POP","TOT","MLN_PER","A","1960",45.68423,
"FRA","POP","TOT","MLN_PER","A","1961",46.16283,
"FRA","POP","TOT","MLN_PER","A","1962",46.9977,
"FRA","POP","TOT","MLN_PER","A","1963",47.81622,
"FRA","POP","TOT","MLN_PER","A","1964",48.31041,
"FRA","POP","TOT","MLN_PER","A","1965",48.7578,
"FRA","POP","TOT","MLN_PER","A","1966",49.16366,
"FRA","POP","TOT","MLN_PER","A","1967",49.5483,
"FRA","POP","TOT","MLN_PER","A","1968",49.9154,
"FRA","POP","TOT","MLN_PER","A","1969",50.31798,
"FRA","POP","TOT","MLN_PER","A","1970",50.77223,
"FRA","POP","TOT","MLN_PER","A","1971",51.25109,
"FRA","POP","TOT","MLN_PER","A","1972",51.70091,
"FRA","POP","TOT","MLN_PER","A","1973",52.1183,
"FRA","POP","TOT","MLN_PER","A","1974",52.46036,
"FRA","POP","TOT","MLN_PER","A","1975",52.69917,
"FRA","POP","TOT","MLN_PER","A","1976",52.90867,
"FRA","POP","TOT","MLN_PER","A","1977",53.14529,
"FRA","POP","TOT","MLN_PER","A","1978",53.37632,
"FRA","POP","TOT","MLN_PER","A","1979",53.60623,
